timestamp,x,y,z,w
1517145455556896,0.128052,-0.115112,0.974121,-0.146423
1517145455575896,0.128052,-0.114929,0.974121,-0.146362
1517145455592906,0.12793,-0.114685,0.974182,-0.146362
1517145455615922,0.127869,-0.114563,0.974243,-0.14624
1517145455635941,0.127747,-0.114685,0.974243,-0.146179
1517145455657950,0.127625,-0.114685,0.974243,-0.146179
1517145455680967,0.127563,-0.114441,0.974304,-0.146118
1517145455696978,0.127502,-0.114136,0.974365,-0.146057
1517145455712998,0.127502,-0.114136,0.974365,-0.145874
1517145455736011,0.127502,-0.114319,0.974365,-0.145813
1517145455757023,0.127502,-0.114319,0.974365,-0.145813
1517145455773032,0.127502,-0.114258,0.974365,-0.145813
1517145455803060,0.127502,-0.114258,0.974365,-0.145813
1517145455816062,0.127441,-0.114258,0.974365,-0.145752
1517145455833075,0.127441,-0.114441,0.974365,-0.145752
1517145455855090,0.127441,-0.114441,0.974365,-0.145813
1517145455876112,0.12738,-0.11438,0.974365,-0.145813
1517145455893125,0.127197,-0.114319,0.974426,-0.145691
1517145455915135,0.127258,-0.114319,0.974426,-0.145691
1517145455936148,0.127258,-0.114319,0.974426,-0.145691
1517145455952215,0.127319,-0.114258,0.974426,-0.145691
1517145455975180,0.127258,-0.114197,0.974426,-0.145691
1517145455997203,0.127197,-0.11438,0.974426,-0.145691
1517145456012205,0.127136,-0.114563,0.974426,-0.14563
1517145456036220,0.127014,-0.114502,0.974426,-0.145508
1517145456063276,0.127014,-0.114502,0.974426,-0.145508
1517145456072245,0.126953,-0.114563,0.974487,-0.145386
1517145456096266,0.127014,-0.114502,0.974487,-0.145325
1517145456117277,0.126953,-0.114502,0.974487,-0.145264
1517145456132288,0.126892,-0.114563,0.974487,-0.145142
1517145456155329,0.126831,-0.114624,0.974487,-0.145081
1517145456177321,0.126709,-0.114624,0.974548,-0.14502
1517145456192331,0.126648,-0.114624,0.974548,-0.144897
1517145456215357,0.126587,-0.114624,0.974609,-0.144836
1517145456237363,0.126587,-0.114563,0.974609,-0.144836
1517145456252387,0.126648,-0.114563,0.974609,-0.144836
1517145456275391,0.126648,-0.114563,0.974548,-0.144836
1517145456297404,0.126587,-0.114441,0.974609,-0.144775
1517145456312417,0.126526,-0.114258,0.97467,-0.144714
1517145456341435,0.126526,-0.11438,0.97467,-0.144653
1517145456357448,0.126526,-0.11438,0.97467,-0.144653
1517145456380518,0.126587,-0.11438,0.974609,-0.144653
1517145456395528,0.126648,-0.11438,0.974609,-0.144653
1517145456417492,0.126648,-0.114319,0.974609,-0.144653
1517145456432504,0.126648,-0.11438,0.974609,-0.144592
1517145456455519,0.126587,-0.114563,0.974609,-0.144531
1517145456477532,0.126465,-0.114563,0.97467,-0.14447
1517145456491544,0.126404,-0.114563,0.97467,-0.144348
1517145456515589,0.126282,-0.114502,0.974731,-0.144226
1517145456537588,0.126282,-0.114441,0.974731,-0.144226
1517145456558593,0.126343,-0.114441,0.974731,-0.144226
1517145456581607,0.126343,-0.114502,0.974731,-0.144165
1517145456597618,0.12616,-0.114502,0.974731,-0.144104
1517145456620640,0.126099,-0.114563,0.974731,-0.144104
1517145456635647,0.12616,-0.114563,0.974731,-0.144104
1517145456657664,0.126221,-0.114502,0.974731,-0.144104
1517145456686683,0.126221,-0.114502,0.974731,-0.144043
1517145456694742,0.126221,-0.114502,0.974731,-0.144043
1517145456724707,0.126282,-0.114441,0.974731,-0.144043
1517145456738721,0.126282,-0.114441,0.974731,-0.144043
1517145456754772,0.126343,-0.114441,0.974731,-0.144043
1517145456777757,0.126404,-0.114502,0.974731,-0.144043
1517145456798815,0.126404,-0.114441,0.974731,-0.144043
1517145456814776,0.126404,-0.11438,0.974731,-0.144043
1517145456837791,0.126831,-0.11438,0.97467,-0.144165
1517145456858841,0.127136,-0.114136,0.974609,-0.144348
1517145456874816,0.127197,-0.114136,0.974609,-0.144348
1517145456897866,0.127319,-0.114258,0.974609,-0.144409
1517145456918845,0.127563,-0.114502,0.974548,-0.144531
1517145456934858,0.127625,-0.114502,0.974487,-0.144531
1517145456957908,0.127625,-0.114441,0.974487,-0.144531
1517145456980926,0.127625,-0.114441,0.974487,-0.144531
1517145457002958,0.127625,-0.11438,0.974548,-0.14447
1517145457017970,0.127869,-0.114502,0.974487,-0.144531
1517145457040935,0.12793,-0.114502,0.974487,-0.144531
1517145457055988,0.127991,-0.114502,0.974487,-0.144531
1517145457077995,0.127991,-0.114441,0.974487,-0.144531
