timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1517145104595522,-3,2,21,-8,-4,-4,-1,0
1517145104595522,0,-3,-29,5,1,3,1,-1
1517145104607529,0,7,15,-5,-2,-3,0,0
1517145104607529,-2,-12,-13,-4,-3,-2,-3,-2
1517145104616536,1,-2,-21,2,2,0,-1,-3
1517145104616536,-4,3,50,3,-1,-1,-1,-3
1517145104631547,-1,-5,7,0,-2,-1,-1,-2
1517145104631547,-2,8,21,7,1,0,-1,-1
1517145104632548,-1,-1,-25,-7,-3,-1,-1,-1
1517145104632548,-2,1,30,4,-1,-1,-3,0
1517145104653563,0,-5,-18,4,-1,1,-1,0
1517145104653563,-1,-17,-50,-5,-2,-5,-1,1
1517145104655564,-2,-4,2,-7,-7,-4,-4,-3
1517145104655564,3,8,9,-16,-1,1,0,2
1517145104668573,0,3,24,1,1,-1,0,-1
1517145104668573,-1,-3,-12,11,4,1,0,0
1517145104674578,-4,-10,27,-3,-3,-3,-1,-1
1517145104674578,1,12,49,10,2,-1,-2,-1
1517145104691590,0,-9,-16,1,2,2,1,0
1517145104691590,-1,16,3,-7,-3,-3,-1,-4
1517145104692592,-1,-2,-9,1,4,3,0,0
1517145104692592,-4,-16,-20,-7,-7,-5,-4,-2
1517145104713605,2,1,14,8,1,-1,1,-1
1517145104713605,0,1,-5,-13,-4,-3,-3,0
1517145104715607,1,7,-7,8,5,3,2,1
1517145104715607,-1,1,5,9,1,0,-1,-3
1517145104728617,-2,-8,-17,-6,1,1,-1,-1
1517145104728617,1,4,39,5,-1,-3,-2,-3
1517145104735622,-2,-4,-42,-1,-1,0,0,-1
1517145104735622,0,-9,-30,-11,-4,-3,-1,2
1517145104751633,-1,3,8,3,0,-1,0,0
1517145104751633,-1,4,13,3,0,1,1,0
1517145104753634,0,-2,11,0,-2,-2,-1,-1
1517145104753634,0,3,8,12,1,3,0,-2
1517145104774653,0,-9,-11,-1,-3,-1,-2,-2
1517145104774653,1,6,14,1,2,0,-3,0
1517145104775656,-1,1,-10,-15,-6,-3,-1,1
1517145104775656,-1,-11,-41,-6,-2,-3,-1,0
1517145104788660,-1,8,34,-7,-4,-4,-1,0
1517145104788660,1,-2,-5,3,0,-1,1,0
1517145104795672,0,-2,-12,12,1,1,-1,-2
1517145104795672,-1,2,9,-11,0,1,-3,0
1517145104812676,0,-3,-16,-1,-4,-2,-1,2
1517145104812676,-3,-4,-12,1,1,0,-1,-2
1517145104814677,0,6,38,0,2,-1,-1,0
1517145104814677,-2,-10,-33,-8,-3,-4,0,-2
1517145104833691,-1,4,10,2,-2,-3,1,-3
1517145104833691,-3,-5,-13,-2,-4,-1,0,0
1517145104835692,1,0,7,6,4,1,0,-1
1517145104835692,2,8,19,11,11,6,3,-2
1517145104848702,0,-7,-18,-7,-3,1,-1,-1
1517145104848702,-3,-5,3,1,-3,-3,-2,-4
1517145104856707,-2,0,-6,-15,-4,-2,-1,1
1517145104856707,0,2,-4,8,4,-1,-2,1
1517145104869717,-2,4,17,-2,3,-2,1,0
1517145104869717,1,4,13,10,0,0,1,-1
1517145104878723,-6,-16,-37,-11,-7,-4,-4,-4
1517145104878723,-1,3,12,-2,-3,-2,-1,0
1517145104892733,1,6,15,0,0,0,-1,-1
1517145104892733,-1,-7,6,-1,-4,-2,-1,0
1517145104893733,-2,-1,-10,2,-2,-2,-1,0
1517145104893733,1,2,45,-6,0,-2,0,-3
1517145104915788,-4,-3,-33,-8,-3,-1,-1,-2
1517145104915788,0,1,-9,12,3,2,-2,1
1517145104916766,-1,-3,-5,-2,-3,-1,0,-2
1517145104916766,-2,-2,-6,-12,-2,-2,-1,0
1517145104938766,-2,-2,21,2,-3,-2,-2,-2
1517145104938766,1,3,-2,-11,-3,-3,-4,-1
1517145104938766,-1,2,18,5,-1,0,-1,-2
1517145104938766,0,-6,-27,8,-2,-3,1,-2
1517145104961845,-2,4,4,-4,-1,-2,-2,-2
1517145104961845,-2,-1,-17,-1,-1,-1,0,0
1517145104961845,1,9,47,3,2,-1,-3,-2
1517145104961845,-2,-3,2,-9,-3,-1,-2,-3
1517145104975792,-2,-10,-26,-6,-6,-2,-4,-3
1517145104975792,-1,0,14,-3,-2,-1,-1,1
1517145104976793,3,5,6,8,1,2,0,0
1517145104976793,0,5,23,12,3,1,-1,-1
1517145104997807,-2,-14,-42,-18,-7,-6,0,-2
1517145104997807,0,8,7,-2,-1,1,1,-1
1517145104998809,-5,-6,12,-7,-5,-4,-2,-1
1517145104998809,-1,2,-4,18,4,0,1,1
1517145105028883,-2,4,2,-8,-1,0,-2,1
1517145105028883,0,-3,12,-5,0,-2,1,-3
1517145105029833,1,-6,-31,-5,-1,0,0,1
1517145105029833,-2,4,-15,2,-4,-1,-2,-2
1517145105035888,0,1,6,5,2,1,0,0
1517145105035888,-2,2,19,4,1,-1,-2,-2
1517145105036869,0,-5,-26,2,2,1,0,0
1517145105036869,-5,-15,-24,-24,-12,-6,-5,-3
1517145105057869,0,3,20,2,1,-2,-1,-2
1517145105057869,0,-5,-20,-7,0,0,0,-2
1517145105058850,0,9,-6,11,1,-1,1,1
1517145105058850,1,-3,14,0,-1,0,-1,2
1517145105072915,-4,-1,9,0,0,0,1,0
1517145105072915,-3,1,-28,7,-1,-1,2,-3
1517145105080920,3,9,36,-7,-1,-1,2,0
1517145105080920,-5,-13,-25,-12,-4,-3,-1,0
1517145105095941,2,2,14,6,0,-1,-1,-3
1517145105095941,-1,-4,-19,-7,-2,-3,-3,-1
1517145105096879,-2,-2,-12,-1,-2,-1,-2,-2
1517145105096879,-1,0,-3,3,2,-1,2,-1
1517145105117958,2,-3,3,14,2,1,-1,1
1517145105117958,-1,-6,1,-20,-3,-3,-1,0
1517145105118907,6,11,-57,0,-1,0,-1,-1
1517145105118907,-3,-1,32,-6,-3,-2,-3,-1
1517145105132974,-1,-2,6,8,-1,-2,0,-1
1517145105132974,-1,1,3,-7,1,0,0,0
1517145105140915,-5,-11,-1,-12,-3,-3,-1,-4
1517145105140915,2,3,-4,12,-2,1,1,-1
1517145105155985,-2,-1,-22,-1,0,0,-1,-2
1517145105155985,-1,-2,30,9,2,-1,-1,1
1517145105156922,-4,-5,-7,-3,-4,-2,-2,-4
1517145105156922,0,0,-4,-11,-1,-1,1,-3
1517145105177936,-3,-11,-14,-2,-3,-4,-3,-1
1517145105177936,4,9,-10,1,0,1,0,0
1517145105178942,-6,-7,5,-3,-5,-1,-1,-1
1517145105178942,1,0,-21,-3,-1,-1,0,-1
1517145105192947,2,1,5,2,1,0,1,0
1517145105192947,-1,3,42,6,-2,-1,-2,-2
1517145105200953,-2,-10,-50,5,1,-2,0,-4
1517145105200953,3,7,14,-30,-10,-6,-1,-1
1517145105215961,-1,0,-8,3,4,2,-3,-1
1517145105215961,-2,-4,31,-1,-3,-1,-3,0
1517145105216963,-1,0,28,13,-1,0,2,2
1517145105216963,-2,-2,-8,-1,3,2,-2,0
1517145105237977,0,0,-24,-5,0,-1,1,-1
1517145105237977,0,5,-2,12,1,1,0,-1
1517145105238978,-2,-11,-20,-17,-3,-4,-3,-2
1517145105238978,1,-2,18,14,2,0,0,-2
1517145105253988,0,7,-10,-11,-6,-3,0,0
1517145105253988,-2,-10,-26,-8,1,-1,3,-2
1517145105260994,1,-1,2,5,-5,-2,-2,-1
1517145105260994,-1,3,-5,2,2,0,-1,-4
1517145105276004,-1,4,-15,14,5,1,2,-1
1517145105276004,-5,-12,14,-20,-8,-6,-3,-4
1517145105276004,-1,2,-6,-1,-1,-3,-2,1
1517145105276004,-1,5,25,13,0,2,1,-1
1517145105298021,-2,-2,16,9,7,2,-1,0
1517145105298021,1,2,-20,2,-2,-3,-1,-2
1517145105299021,-1,4,48,-22,-2,-1,-2,-1
1517145105299021,-1,0,0,0,-3,-2,-3,-1
1517145105321051,-5,-10,-8,9,-6,-5,0,-4
1517145105321051,-2,0,-6,3,4,-1,-2,-2
1517145105322039,0,1,6,2,4,0,1,-1
1517145105322039,1,1,-9,7,0,1,0,0
1517145105336048,1,4,14,-8,-1,1,-2,-2
1517145105336048,0,-2,-3,-12,-6,0,-2,0
1517145105336048,-4,-13,-17,-3,-9,-7,-2,-3
1517145105336048,-3,-6,-18,8,3,-2,0,0
1517145105358062,2,4,20,-10,1,-2,0,1
1517145105358062,-1,1,-18,11,0,2,0,0
1517145105359063,-1,2,8,-18,2,5,-3,-2
1517145105359063,0,-2,-35,1,-1,0,-1,0
1517145105372106,-3,-8,25,-2,-9,-7,-6,-2
1517145105372106,-2,2,7,10,5,2,2,1
1517145105381118,0,1,-10,1,0,1,1,-1
1517145105381118,-1,3,17,5,-5,-4,0,-3
1517145105396150,-2,0,-17,-16,-2,2,0,-1
1517145105396150,0,-3,-28,-6,0,-2,-2,0
1517145105396150,-1,1,52,-7,-2,-3,-3,-1
1517145105396150,-1,-2,-21,7,5,-2,-1,1
1517145105418104,1,-1,-9,-3,-2,-1,0,-1
1517145105418104,-2,-1,8,6,-1,-1,-2,-2
1517145105419105,1,6,2,14,2,3,0,0
1517145105419105,3,-1,8,-5,10,3,1,-2
1517145105432170,-6,-9,2,-19,-16,-7,-4,-2
1517145105432170,2,0,-21,-20,-4,0,-1,0
1517145105441123,-1,-1,-8,5,-2,-2,-1,-1
1517145105441123,0,0,19,9,-3,-1,-1,-2
1517145105456152,0,4,5,10,6,4,-1,-1
1517145105456152,-1,-5,-15,-7,-2,-2,1,-4
1517145105456152,-3,1,-7,-2,2,-3,0,-2
1517145105456152,-4,-5,-10,-5,-4,-3,-1,-1
1517145105478202,0,-2,6,2,1,1,-1,1
1517145105478202,-3,-3,-6,-2,-3,-1,-3,-3
1517145105479152,2,-1,-6,4,-1,1,0,-1
1517145105479152,-4,-1,0,4,-3,-2,-2,-1
1517145105492162,-2,-1,-9,-29,3,0,0,-3
1517145105492162,-1,1,7,6,-2,-2,0,0
1517145105500219,-3,-1,-5,4,0,0,-2,-1
1517145105500219,-1,-4,-5,-2,-5,-1,-2,-1
1517145105516196,2,3,6,8,3,2,-1,-1
1517145105516196,2,-3,-11,-15,-5,-4,-3,1
1517145105516196,-1,-1,-2,6,3,-2,-1,-4
1517145105516196,-8,-1,-2,-14,-5,-1,-2,-2
1517145105538189,-2,-1,4,13,3,4,8,2
1517145105538189,-8,-4,0,3,-1,0,-4,-2
1517145105539192,12,2,-3,2,0,-2,-1,0
1517145105539192,6,-5,-8,-14,-3,-3,-5,-7
1517145105552256,-12,-3,1,10,-3,-1,-4,-3
1517145105552256,-1,-1,-3,-10,0,-3,-2,-3
1517145105561224,0,3,-1,3,-1,4,6,12
1517145105561224,9,-7,-1,-9,-2,-5,-5,-9
1517145105575220,5,0,-1,0,1,-1,-1,-5
1517145105575220,-4,-4,0,8,-3,-1,-1,-1
1517145105576219,4,-2,-3,-2,0,0,-3,-1
1517145105576219,3,2,-1,-7,1,1,3,3
1517145105598299,-4,1,-1,4,-1,-3,-2,0
1517145105598299,-1,-3,-1,3,-1,-4,-6,-3
1517145105599241,-6,-2,-3,-5,-1,-1,-2,-8
1517145105599241,-8,-2,-3,-2,0,2,1,9
1517145105612248,4,-2,-2,-3,-5,-3,-5,-6
1517145105612248,3,0,0,2,-3,-3,2,2
1517145105621250,-1,-3,-1,-5,-2,0,-1,0
1517145105621250,-10,0,-2,0,0,-1,-3,-5
1517145105635260,0,-1,-2,0,-1,-2,-3,3
1517145105635260,0,-2,0,-2,0,0,-1,2
1517145105636260,0,-4,-1,0,-1,-3,-3,-4
1517145105636260,6,1,-6,-6,-3,-2,1,1
1517145105666336,-3,1,1,5,-1,0,1,-1
1517145105666336,-9,-4,-4,-20,-4,-3,-4,-8
1517145105667285,6,1,0,9,5,1,4,1
1517145105667285,-18,-1,0,4,-2,-1,-2,-4
1517145105672340,10,-1,-3,-3,-6,-3,-2,-1
1517145105672340,14,0,2,6,-1,1,2,1
1517145105688352,-1,-3,-5,-4,-10,-5,-3,-2
1517145105688352,3,-2,-1,0,14,5,0,-2
1517145105695358,-6,-1,3,9,4,0,2,2
1517145105695358,0,2,7,21,0,-1,1,2
1517145105696307,1,-5,-14,-46,-8,-6,-1,1
1517145105696307,-6,1,3,7,-3,3,1,0
1517145105718372,7,-2,-3,-7,-3,-2,0,1
1517145105718372,2,3,-1,7,-3,-2,-2,2
1517145105719323,-8,0,1,11,2,-1,-3,-1
1517145105719323,2,-3,-2,-5,0,-1,-4,0
1517145105732385,-4,-2,-1,-2,2,1,-3,-2
1517145105732385,3,0,0,-3,-3,1,1,0
1517145105740388,-8,-2,1,2,-2,-3,-2,-2
1517145105740388,0,1,-2,-3,-5,-3,0,-1
1517145105755400,0,2,1,5,0,-1,1,-1
1517145105755400,-6,-2,-6,-11,1,-1,-2,-1
1517145105756349,-3,-4,-5,-7,-2,-2,-2,-4
1517145105756349,2,0,-2,-7,1,-2,-1,0
1517145105778415,-1,-2,4,-3,-2,-1,0,1
1517145105778415,-4,-1,-6,-8,-2,-1,-1,-4
1517145105779397,-3,-1,-1,13,2,0,-1,-1
1517145105779397,0,-1,0,-2,-4,-2,0,-3
1517145105794372,-1,-2,-2,4,-5,-1,-2,-2
1517145105794372,0,1,3,-5,3,0,0,-2
1517145105800416,0,-2,-5,-3,-3,0,-1,0
1517145105800416,0,2,7,27,-6,-2,0,-3
1517145105815393,-3,0,5,-4,13,3,-2,0
1517145105815393,-2,-4,-24,-37,-10,-3,-1,0
1517145105816392,2,2,4,6,0,-2,-1,-1
1517145105816392,2,-1,-1,-6,0,0,-1,0
1517145105838458,-3,0,4,9,-4,-1,-1,-3
1517145105838458,0,0,5,12,4,0,-1,0
1517145105839446,-2,-1,-2,-10,-2,0,-3,-2
1517145105839446,0,-2,-2,5,-4,-2,-2,-2
1517145105852468,0,-6,-11,-14,0,-1,-1,-1
1517145105852468,0,0,1,2,-1,1,0,1
1517145105860422,-2,0,2,2,1,2,-1,0
1517145105860422,1,1,5,12,10,-1,2,-1
1517145105875430,-3,0,-6,-13,-3,-3,-2,-1
1517145105875430,0,-3,-6,-10,-12,-6,-3,-2
1517145105876432,-1,1,6,2,-3,-2,-1,-3
1517145105876432,2,-2,-2,-6,-2,0,1,2
1517145105898502,1,-3,-2,-3,0,-1,0,0
1517145105898502,-3,0,3,13,6,1,-1,-2
1517145105899468,-2,0,1,-15,-6,-2,0,1
1517145105899468,-1,-2,-1,2,3,2,-2,-1
1517145105921519,-1,3,-1,14,4,2,1,-1
1517145105921519,-1,-1,-1,-3,7,0,1,-2
1517145105922470,0,-1,-1,3,0,0,0,1
1517145105922470,-2,-2,-4,-15,-4,-4,1,-2
1517145105935529,0,-1,0,-4,-9,-5,-2,-1
1517145105935529,0,0,3,9,1,1,-1,-3
1517145105936476,-2,-5,-3,-3,1,-2,0,-2
1517145105936476,-1,-5,-3,-7,-6,-2,-1,0
1517145105966553,3,-1,-3,-1,0,0,-2,1
1517145105966553,-1,1,6,16,-1,-1,-1,-1
1517145105967504,-2,-2,-7,-23,1,-1,-2,-2
1517145105967504,1,1,-4,-2,-4,0,-2,2
1517145105981562,-4,-2,-1,0,1,-1,0,-3
1517145105981562,0,-4,-12,-18,-4,-3,-3,0
1517145105982515,0,1,6,13,-2,0,0,-1
1517145105982515,-1,-1,0,-1,0,-1,-1,1
1517145105995518,1,-1,-2,-3,-3,-2,0,-1
1517145105995518,-3,0,4,8,-2,0,1,-3
1517145105996523,0,-1,-3,6,-1,1,0,-2
1517145105996523,-2,-2,-4,-11,-3,-3,-3,-1
1517145106018589,-3,-1,-2,-4,-1,-1,-2,0
1517145106018589,-3,-3,2,3,0,-1,-1,-1
1517145106018589,0,-3,-2,1,1,-1,-1,0
1517145106018589,0,-1,-1,3,0,-1,0,-3
1517145106041552,0,0,0,-2,-1,1,-2,-2
1517145106041552,1,-2,-4,-11,-1,-1,-2,1
1517145106042552,-1,0,1,9,-3,-1,-2,-2
1517145106042552,-2,-3,-6,-18,-3,-2,0,0
1517145106055558,-1,0,3,1,-2,-1,-3,-2
1517145106055558,-3,-1,-1,12,1,-3,-1,-1
1517145106056560,-2,-3,-8,-18,-8,-3,-2,0
1517145106056560,-2,-1,0,6,-1,0,-2,-3
1517145106078576,-1,0,-1,-4,-2,-1,0,-2
1517145106078576,0,3,5,13,-1,1,-1,0
1517145106078576,0,0,-2,-4,3,0,-1,1
1517145106078576,0,-1,0,0,-1,-1,-1,-3
1517145106101646,-2,-3,-3,-7,-3,-4,-2,-2
1517145106101646,-2,-2,1,2,-1,-2,-1,0
1517145106102593,-1,0,-2,7,1,0,0,0
1517145106102593,0,-1,-2,-5,-2,-1,-1,0
1517145106115642,-2,-2,-2,1,-2,-1,-1,1
